query,entail,conflict,query_atoms,entail_atoms,conflict_atoms,negs_sourse_atoms
The obligations of confidentiality regarding the Proprietary Information shall remain in effect for a period of one (1) year following the disclosure date.,The duty to keep secrets lasts for exactly one year after the information is shared.,The obligations of confidentiality established by this Agreement shall survive the termination hereof and continue in perpetuity.,['The obligations of confidentiality regarding the Proprietary Information shall remain in effect for a period of one (1) year following the disclosure date.'],['The duty to keep secrets lasts for exactly one year after the information is shared.'],['The obligations of confidentiality established by this Agreement shall survive the termination hereof and continue in perpetuity.'],"[['Confidentiality obligations do not expire after one year.', 'The duty of confidentiality is perpetual.', 'Obligations survive indefinitely.']]"
"325 S.W.3d 565 (2010)
STATE of Missouri, Respondent,
v.
Cynthia A. PESCE, Appellant.
No. WD 71559.
Missouri Court of Appeals, Western District.
November 30, 2010.
*568 William J. Swift, Columbia, MO, for appellant.
Shaun J. Mackelprang and James B. Farnsworth, Jefferson City, MO, for respondent.
Before Division Four: LISA WHITE HARDWICK, Chief Judge, Presiding, MARK D. PFEIFFER, Judge and GARY D. WITT, Judge.
GARY D. WITT, Judge.","State of Missouri v. Cynthia A. Pesce, 325 S.W.3d 565 (Mo. App. W.D. 2010), was decided on November 30, 2010. Represented by William J. Swift (Appellant) and Shaun J. Mackelprang (Respondent), the case was heard by Division Four with Judge Gary D. Witt presiding.","State of Missouri v. John Doe, 999 S.W.3d 000 (2020), was decided on January 1, 2020. The appellant appeared pro se, and the respondent defaulted. The case was heard by the Supreme Court with Judge Judy presiding.","['Case citation is 325 S.W.3d 565 (2010).', 'Parties are State of Missouri (Respondent) v. Cynthia A. Pesce (Appellant).', 'Case number is No. WD 71559.', 'Court is Missouri Court of Appeals, Western District.', 'Date is November 30, 2010.', 'William J. Swift represented the appellant.', 'Shaun J. Mackelprang and James B. Farnsworth represented the respondent.', 'The case was before Division Four.', 'Judges are Lisa White Hardwick, Mark D. Pfeiffer, and Gary D. Witt.', 'Gary D. Witt is the authoring Judge.']","['Citation is 325 S.W.3d 565 (2010).', 'Case is State of Missouri v. Cynthia A. Pesce.', 'Decided on November 30, 2010.', 'Attorneys included William J. Swift and Shaun J. Mackelprang.', 'Heard by Division Four with Judge Witt.']","['Citation is 999 S.W.3d 000 (2020).', 'Case is State of Missouri v. John Doe.', 'Decided on January 1, 2020.', 'Appellant appeared pro se.', 'Heard by Supreme Court with Judge Judy.']","[['Case citation is NOT 325 S.W.3d 565.', 'Case citation is 100 U.S. 1.', 'Case is unreported.'], ['Parties are NOT State v. Pesce.', 'Parties are Smith v. Jones.', 'Parties are Google v. Oracle.'], ['Case number is NOT WD 71559.', 'Case number is 12-3456.', 'There is no case number.'], ['Court is NOT Missouri Court of Appeals.', 'Court is the U.S. Supreme Court.', 'Court is a Traffic Court.'], ['Date is NOT November 30, 2010.', 'Date is July 4, 1776.', 'Date is in the future.'], ['William J. Swift did NOT represent the appellant.', 'Appellant was self-represented.', 'Appellant had no counsel.'], ['Mackelprang did NOT represent the respondent.', 'Respondent defaulted.', 'Respondent was represented by the AG.'], ['The case was NOT before Division Four.', 'The case was before the Full Court.', 'The case was before a single magistrate.'], ['Judges were NOT Hardwick, Pfeiffer, and Witt.', 'Judges were Scalia, Roberts, and Alito.', 'There were no judges.'], ['Gary D. Witt is NOT the authoring Judge.', 'Opinion is per curiam.', 'Judge Hardwick authored the opinion.']]"
This agreement is governed solely by International Maritime Law.,The laws of the sea and international maritime statutes solely govern this deal.,This Agreement shall be interpreted in accordance with the internal laws of the State of New York.,['This agreement is governed solely by International Maritime Law.'],['The laws of the sea and international maritime statutes solely govern this deal.'],['This Agreement shall be interpreted in accordance with the internal laws of the State of New York.'],"[['This agreement is not governed by Maritime Law.', 'State laws govern this agreement.', 'International law does not apply.']]"
"In the event of a Force Majeure, the Buyer is fully excused from its obligation to make payments for goods received.","If a disaster happens, the buyer doesn't have to pay for the stuff they got.","Notwithstanding the occurrence of a Force Majeure Event, the Buyer shall not be relieved of its obligation to pay for Goods delivered.","['In the event of a Force Majeure, the Buyer is excused from payment.']",['Disaster excuses paying.'],['Force Majeure does not excuse payment obligations.'],"[['The Buyer is not excused from payment during Force Majeure.', 'Payment obligation remains.', 'Must pay despite disaster.']]"
"ARTICLE 4
STANDSTILL, ACQUISITIONS
OF SECURITIES AND OTHER MATTERS
SECTION 4.01
Acquisitions of Common Stock
SECTION 4.02
No Participation in a Group or Solicitation of Proxies
SECTION 4.03
Rights to Purchase New Securities
SECTION 4.04
Takeover Proposals by the Investor Group
SECTION 4.05
Affiliate Transactions
SECTION 4.06
Termination of Standstill Provisions
ARTICLE 5
RESTRICTIONS ON TRANSFERABILITY OF SECURITIES
SECTION 5.01
General
SECTION 5.02
Improper Sale or Encumbrance
SECTION 5.03
Restrictive Legends
SECTION 5.04
Sales of Significant Interests
ARTICLE 6
CORPORATE OPPORTUNITIES AND RELATED MATTERS
SECTION 6.01
Similar Activities or Lines of Business
i
--------------------------------------------------------------------------------
ARTICLE 7
REPRESENTATIONS AND WARRANTIES","The term ""Collateral"" is defined as all property identified as ""Collateral"" in the Security Agreement, along with any other assets that are currently subject to, or are designated by the Collateral Documents to become subject to, Liens held by the Collateral Agent for the advantage of the Secured Parties.","The term ""Collateral"" specifically excludes all property identified as ""Collateral"" in the Security Agreement and rejects any other assets that might be subject to Liens. It is defined as property free of any Liens held by the Collateral Agent and is intended solely for the detriment of the Secured Parties.","['""Collateral"" means all of the ""Collateral"" referred to in the Security Agreement.', '""Collateral"" means all of the other property that is subject to Liens in favor of the Collateral Agent.', '""Collateral"" means all of the other property that is intended under the terms of the Collateral Documents to be subject to Liens.', 'The Liens are in favor of the Collateral Agent.', 'The Liens are for the benefit of the Secured Parties.']","['The term ""Collateral"" is defined as all property identified as ""Collateral"" in the Security Agreement.', 'The term includes any other assets that are currently subject to Liens held by the Collateral Agent.', 'The term includes any other assets that are designated by the Collateral Documents to become subject to Liens.', 'The Liens are held by the Collateral Agent.', 'The Liens are for the advantage of the Secured Parties.']","['The term ""Collateral"" specifically excludes all property identified as ""Collateral"" in the Security Agreement.', 'The term rejects any other assets that might be subject to Liens.', 'It is defined as property free of any Liens held by the Collateral Agent.', 'The definition is intended solely for the detriment of the Secured Parties.']","[['""Collateral"" does NOT mean the ""Collateral"" in the Security Agreement.', '""Collateral"" refers to unsecured assets.', '""Collateral"" means nothing.'], ['""Collateral"" does NOT mean property subject to Liens.', '""Collateral"" means property exempt from Liens.', '""Collateral"" refers to personal items.'], ['""Collateral"" does NOT mean property intended to be subject to Liens.', '""Collateral"" means property intentionally kept free of Liens.', '""Collateral"" excludes future assets.'], ['The Liens are NOT in favor of the Collateral Agent.', 'The Liens are in favor of the Debtor.', 'The Liens are in favor of the government.'], ['The Liens are NOT for the benefit of the Secured Parties.', 'The Liens are for the benefit of the Borrower.', 'The Liens are for the detriment of the Secured Parties.']]"
This document is a draft and does not supersede previous agreements.,This is merely a draft and prior agreements remain in effect.,This Agreement contains the entire understanding and supersedes all prior drafts and agreements.,['This document is a draft and does not supersede previous agreements.'],['This is merely a draft and prior agreements remain in effect.'],['This Agreement contains the entire understanding and supersedes all prior drafts and agreements.'],"[['This document is not a draft.', 'This Agreement supersedes previous agreements.', 'Prior agreements are replaced by this document.']]"
The court granted the motion to change venue from The Bronx to Westchester based on the convenience of material witnesses.,The judge agreed to move the trial to Westchester because it would be easier for the key witnesses.,No showing was made that the requested change from The Bronx to Westchester would promote the convenience of material witnesses.,"['The court granted the motion to change venue to Westchester.', 'The change was based on the convenience of material witnesses.']","['Venue transfer to Westchester was granted.', 'Witness convenience was the basis.']","['The requested change to Westchester was denied.', 'Venue was properly placed in The Bronx.']","[['The court did not grant the motion to change venue.', 'Venue remains in The Bronx.', 'Transfer was refused.'], ['Convenience of material witnesses was not established.', 'No showing was made to support the change.', 'The basis for transfer failed.']]"
"If an incident occurs at a station, the first discoverer must immediately report to the Station Duty Officer, and the Station Master or Duty Station Master must report to the OCC immediately after receiving the report.","Station incidents require the discoverer to alert the Duty Officer, followed by the Station Master relaying the information to the OCC without delay.","If an incident occurs at a station, the first discoverer must keep it secret, and the Station Master is forbidden from reporting to the OCC.","[""An incident occurs at a station."", ""The first discoverer must immediately report to the Station Duty Officer."", ""The Station Master or Duty Station Master must report to the OCC immediately after receiving the report.""]","[""Station incidents require the discoverer to alert the Duty Officer."", ""The Station Master relays the information to the OCC without delay.""]","[""The first discoverer must keep the incident secret."", ""The Station Master is forbidden from reporting to the OCC.""]","[[""An incident occurs at a private home."", ""An incident occurs on the moon."", ""No incident occurs.""], [""The first discoverer must report to the press."", ""The first discoverer must ignore the Station Duty Officer."", ""The first discoverer waits 2 hours before reporting.""], [""The Station Master must report to the police instead of OCC."", ""The Station Master waits 24 hours before reporting to OCC."", ""The Station Master reports to the cleaning staff.""]]"
The arbitration shall be conducted in accordance with the Commercial Arbitration Rules of the American Arbitration Association (AAA).,The arbitration has to follow the specific business rules set by the AAA group.,The arbitration shall be conducted under the Rules of Arbitration of the International Chamber of Commerce (ICC).,"['The arbitration shall be conducted in accordance with the Commercial Arbitration Rules of the AAA.', 'AAA rules govern the procedure.']","['AAA rules apply.', 'Commercial rules used.']","['The arbitration shall be conducted under the Rules of the ICC.', 'AAA rules do not apply.']","[['The arbitration is not conducted under AAA rules.', 'ICC rules apply.', 'AAA Commercial Rules are excluded.'], ['AAA rules do not govern the procedure.', 'International Chamber of Commerce rules are mandated.', 'AAA jurisdiction is incorrect.']]"
Exit Free Mode: Station staff manually reclaim single journey tickets.,"During Exit Free Mode, personnel are responsible for manually collecting single journey tickets.",Exit Free Mode: The gate machine automatically recycles single journey tickets.,"['The mode is Exit Free Mode.', 'Station staff manually reclaim single journey tickets.']","['The mode is Exit Free Mode.', 'Personnel manually collect single journey tickets.']","['The mode is Exit Free Mode.', 'The gate machine automatically recycles single journey tickets.']","[['The mode is Entry Free Mode.', 'The mode is Normal Mode.', 'The mode is Time Free Mode.'], ['The gate machine automatically recycles single journey tickets.', 'Passengers keep their single journey tickets.', 'Single journey tickets are discarded on the floor.']]"
"EXHIBIT 10.41
EXECUTION VERSION
AMENDMENT NO. 1 to
SECOND AMENDED AND RESTATED TRANSFER AND ADMINISTRATION AGREEMENT
This AMENDMENT NO. 1 TO SECOND AMENDED AND RESTATED TRANSFER AND ADMINISTRATION
AGREEMENT (this “Amendment”), dated as of September 27, 2017, is entered into by
and among Greif Receivables Funding LLC, a Delaware limited liability company,
as seller (the “SPV”), Greif Packaging LLC (“GP”), a Delaware limited liability
company, Delta Petroleum Company, Inc., a Louisiana corporation, and American
Flange & Manufacturing Co., Inc., a Delaware corporation, as originators (each,
an “Originator” and collectively, the “Originators”), GP, as servicer (in such","This provision also applies to any transaction involving the Company and any stockholder who owns more than 10% of the Common Stock. Additionally, the Board cannot make any determination regarding a 'Change of Recommendation' without the prior written approval of a majority of the Independent Directors.","This provision explicitly excludes any transaction involving the Company and any stockholder who owns more than 10% of the Common Stock. Additionally, the Board must make any determination regarding a 'Change of Recommendation' immediately and without the prior written approval of any Independent Directors.","['The provision applies to any transaction involving the Company and any stockholder owning more than 10% of the Common Stock.', ""The Board shall not make any determination regarding a 'Change of Recommendation'."", ""The determination regarding a 'Change of Recommendation' has the meaning set forth in the Merger Agreement."", 'Such determination requires the prior written approval of a majority of the Independent Directors.']","['Provision applies to transactions with 10% stockholders.', 'Board cannot determine a Change of Recommendation.', 'Change of Recommendation is defined in the Merger Agreement.', 'Determination requires prior written approval of majority Independent Directors.']","['Provision excludes transactions with 10% stockholders.', 'Board must determine a Change of Recommendation unilaterally.', 'Change of Recommendation is undefined.', 'Determination must occur without approval of Independent Directors.']","[['The provision does NOT apply to transactions with 10% stockholders.', 'It applies only to 1% stockholders.', 'It applies to non-stockholders.'], ['The stockholder does NOT own more than 10% of the Common Stock.', 'The stockholder owns 0%.', 'The stockholder owns debt only.'], ['The Board shall NOT be restricted from making a determination.', 'The Board has free rein.', 'The Board must decide immediately.'], ['The determination does NOT require prior written approval.', 'Approval is optional.', 'Approval is forbidden.'], ['Approval does NOT need to be from a majority of Independent Directors.', 'Approval from the CFO suffices.', 'Approval from the janitor suffices.']]"
Any notice required to be given under this Agreement shall be deemed sufficient if sent via standard electronic mail.,Sending a regular email is enough for any notice that needs to be given under this deal.,"All notices must be in writing and delivered by certified mail, return receipt requested, or by a nationally recognized courier.",['Any notice required to be given under this Agreement shall be deemed sufficient if sent via standard electronic mail.'],['Sending a regular email is enough for any notice that needs to be given under this deal.'],"['All notices must be in writing and delivered by certified mail, return receipt requested, or by a nationally recognized courier.']","[['Standard electronic mail is not sufficient for notices.', 'Notices must be sent by certified mail.', 'Email notice is not deemed sufficient.']]"
Office hours are from 9:00 AM to 5:00 PM.,The office is open between 9 and 5.,Office hours are not from 9:00 AM to 5:00 PM.,"['Hours are different.', 'Office does not open at 9.', 'Standard hours do not apply.']",['Office hours are from 9:00 AM to 5:00 PM.'],['The office is open between 9 and 5.'],[['Office hours are not from 9:00 AM to 5:00 PM.']]
 The corporation guarantees a fixed annual dividend payout., The corporation guarantees a fixed annual dividend payout.," Dividends are payable only when, as, and if declared by the Board of Directors.",['The corporation guarantees a fixed annual dividend payout.'],['The corporation guarantees a fixed annual dividend payout.'],"['Dividends are payable only when, as, and if declared by the Board of Directors.']","[['The corporation does not guarantee fixed dividends.', 'Dividends are discretionary.', 'Payouts depend on Board declaration.']]"
The lease is for a fixed term of one year.,The contract lasts for exactly one year.,The lease is not for a fixed term of one year.,"['Lease is month-to-month.', 'Term is not one year.', 'No fixed term.']",['The lease is for a fixed term of one year.'],['The contract lasts for exactly one year.'],[['The lease is not for a fixed term of one year.']]
"When train operation safety is affected, the driver shall immediately take emergency braking measures to reduce the superposition of vehicle functions and seismic energy.",Drivers must emergency brake if safety is compromised to minimize the combined impact of the train's motion and the earthquake.,Drivers should accelerate when safety is affected to outrun the seismic waves.,"['When train operation safety is affected, the driver shall immediately take emergency braking measures.', 'The purpose of braking is to reduce the superposition of vehicle functions and seismic energy.']","['Drivers must emergency brake if safety is compromised.', ""Braking minimizes the combined impact of the train's motion and the earthquake.""]","['Drivers should accelerate when safety is affected.', 'The goal is to outrun the seismic waves.']","[['When train operation safety is affected, the driver shall accelerate.', 'The driver shall wait for permission to brake.', 'When safety is unaffected, the driver shall take emergency braking measures.'], ['The purpose of braking is to increase the superposition of seismic energy.', 'The purpose of braking is to test the brakes.', 'The purpose is to derail the train.']]"
"corporation is hereby authorized and directed to solicit the vote or consent of
the majority of shareholders, approving such amendment.
s/s Luc C Duchesne
/s/ Robert Williams
Luc C Duchesne
Robert Williams
President
Director
RESOLVED that the change of name shall be placed in the minutebook of the
corporation and that the changes be updated with the Nevada Secretary of State
Business division.
FURTHER RESOLVED that the company enters into a License Agreement with 1776729
Ontario Corporation, a company controlled by the president and CEO of the
corporation, for the purpose of acquiring proprietary technology for the","The Company: PATHMARK STORES, INC. By: /s/ Marc A. Strassler. Name: Marc A. Strassler. Title: Executive Vice President and Secretary. Investor: YUCAIPA AMERICAN ALLIANCE FUND II, L.P. By: Yucaipa American Alliance Fund II LLC, its general partner. By: /s/ Robert P. Bermingham. Name: Robert P. Bermingham. Title: Vice President.","The Company: TARGET CORP. By: /s/ Nobody. Name: Jane Doe. Title: Janitor. Investor: COMPETITOR FUND IV, L.P. By: Competitor Fund IV LLC, its limited partner. By: /s/ No One. Name: John Smith. Title: Intern.","['The Company is PATHMARK STORES, INC.', 'The signature for the Company is /s/ Marc A. Strassler.', 'The Name of the Company signer is Marc A. Strassler.', 'The Title of the Company signer is Executive Vice President and Secretary.', 'The Investor is YUCAIPA AMERICAN ALLIANCE FUND II, L.P.', 'The Investor is represented by Yucaipa American Alliance Fund II LLC, its general partner.', 'The signature for the Investor is /s/ Robert P. Bermingham.', 'The Name of the Investor signer is Robert P. Bermingham.', 'The Title of the Investor signer is Vice President.']","['Company identified as Pathmark Stores, Inc.', 'Company signed by Marc A. Strassler.', 'Signer name is Marc A. Strassler.', 'Signer title is EVP and Secretary.', 'Investor identified as Yucaipa American Alliance Fund II, L.P.', 'General partner is Yucaipa American Alliance Fund II LLC.', 'Investor signed by Robert P. Bermingham.', 'Signer name is Robert P. Bermingham.', 'Signer title is Vice President.']","['Company identified as Target Corp.', 'Company signed by Nobody.', 'Signer name is Jane Doe.', 'Signer title is Janitor.', 'Investor identified as Competitor Fund IV, L.P.', 'Limited partner is Competitor Fund IV LLC.', 'Investor signed by No One.', 'Signer name is John Smith.', 'Signer title is Intern.']","[['The Company is NOT PATHMARK STORES, INC.', 'It is Walmart.', 'It is a shell company.'], ['The signature is NOT /s/ Marc A. Strassler.', 'It is unsigned.', 'It is signed by the CEO.'], ['The Name is NOT Marc A. Strassler.', 'It is John Doe.', 'It is unknown.'], ['The Title is NOT Executive Vice President and Secretary.', 'It is Intern.', 'It is Director.'], ['The Investor is NOT YUCAIPA AMERICAN ALLIANCE FUND II, L.P.', 'It is a bank.', 'It is a hedge fund.'], ['The general partner is NOT Yucaipa American Alliance Fund II LLC.', 'It is a different LLC.', 'It is a corporation.'], ['The signature is NOT /s/ Robert P. Bermingham.', 'It is unsigned.', 'It is signed by Marc A. Strassler.'], ['The Name is NOT Robert P. Bermingham.', 'It is Jane Smith.', 'It is the President.'], ['The Title is NOT Vice President.', 'It is Secretary.', 'It is Manager.']]"
"External personnel accessing the production system of the Operation Branch need the consent of relevant personnel of the Information Security Implementation Group and the cooperation of maintenance personnel before they can access, and external personnel are prohibited from remotely accessing the production system.","A vendor requires permission from the Information Security Implementation Group and accompaniment by maintenance staff to access the system, and they cannot connect remotely.",External personnel are free to access the production system remotely without any consent from the Information Security Implementation Group or cooperation from maintenance personnel.,"[""External personnel accessing the production system of the Operation Branch need the consent of relevant personnel of the Information Security Implementation Group."", ""External personnel accessing the production system need the cooperation of maintenance personnel."", ""External personnel are prohibited from remotely accessing the production system.""]","[""A vendor requires permission from the Information Security Implementation Group to access the system."", ""Access requires accompaniment by maintenance staff."", ""They cannot connect remotely.""]","[""External personnel are free to access the production system without any consent."", ""External personnel do not need cooperation from maintenance personnel."", ""External personnel are allowed to access the production system remotely.""]","[[""External personnel accessing the production system need the consent of the cleaning staff."", ""External personnel accessing the production system need no consent at all."", ""External personnel accessing the production system need the consent of the external vendor only.""], [""External personnel accessing the production system need the cooperation of the cafeteria staff."", ""External personnel accessing the production system need the cooperation of no one."", ""External personnel accessing the production system must work alone.""], [""External personnel are encouraged to remotely access the production system."", ""External personnel are required to remotely access the production system."", ""External personnel are permitted to remotely access the production system.""]]"
"The Amendment Agreement amending the Letter Agreement is effective retroactively as of January 1, 2012.","The changes to the employment letter start counting from the beginning of 2012, not later.","The Amendment Agreement is made as of December 31, 2012.","['The Amendment Agreement is effective retroactively as of January 1, 2012.', 'The effective date precedes the signature date.']","['Retroactive to Jan 1, 2012.', 'Supersedes signature date.']","['The Amendment Agreement is made as of December 31, 2012.', 'It is not retroactive to January 1.']","[['The Amendment Agreement is not effective retroactively as of January 1, 2012.', 'The effective date is December 31, 2012.', 'Retroactivity is incorrect.'], ['The effective date does not precede the signature date.', 'December 31 is the operative date.', 'January 1 date is false.']]"
The Contractor is free to subcontract any portion of the Services to any entity without notifying or seeking approval from the Client.,The Contractor can hire anyone else to do the work without telling the Client or asking for permission.,"Contractor may not subcontract any portion of the Services without the prior written approval of the Client, which approval shall not be unreasonably withheld.",['The Contractor is free to subcontract any portion of the Services to any entity without notifying or seeking approval from the Client.'],['The Contractor can hire anyone else to do the work without telling the Client or asking for permission.'],"['Contractor may not subcontract any portion of the Services without the prior written approval of the Client, which approval shall not be unreasonably withheld.']","[['Contractor cannot subcontract without approval.', 'Prior written approval is required for subcontracting.', 'Subcontracting is restricted.']]"
"meanings ascribed to them in the Pooling and Servicing Agreement, dated as of
April 1, 2016 (the “Pooling and Servicing Agreement”), between the Purchaser, as
depositor, Wells Fargo Bank, National Association, a national banking
association, as master servicer (the “Master Servicer”), C-III Asset Management
LLC, a Delaware limited liability company, as special servicer (the “Special
Servicer”), Park Bridge Lender Services LLC, a New York limited liability
company, as operating advisor (in such capacity, the “Operating Advisor”) and as
asset representations reviewer (in such capacity, the “Asset Representations
Reviewer”), Citibank, N.A., a national banking association, as certificate","The term ""Independent Director"" refers to a director who serves on the Board of Directors of the Company. This director must be considered ""independent"" according to the rules of the NASDAQ Stock Market. Furthermore, the director must not be an Investor Designee or a Yucaipa Designee.","The term ""Independent Director"" refers to a janitor who works in the basement of the Company. This person must be considered ""dependent"" and essentially owned by the Company. Furthermore, the person must be an Investor Designee and a Yucaipa Designee.","['""Independent Director"" means a director of the Board of Directors of the Company.', 'The Independent Director qualifies as ""independent"" under the rules of the NASDAQ Stock Market.', 'The Independent Director is not an Investor Designee.', 'The Independent Director is not a Yucaipa Designee.']","['Independent Director is a Company Board director.', 'They qualify as independent under NASDAQ rules.', 'They are not an Investor Designee.', 'They are not a Yucaipa Designee.']","['Independent Director is a janitor.', 'They qualify as dependent.', 'They are an Investor Designee.', 'They are a Yucaipa Designee.']","[['""Independent Director"" does NOT mean a director of the Board.', '""Independent Director"" means an external consultant.', '""Independent Director"" refers to a shareholder.'], ['The director does NOT qualify as independent under NASDAQ rules.', 'The director is an insider.', 'NASDAQ rules do not apply.'], ['The director IS an Investor Designee.', 'The director is designated by the Investors.', 'The director represents the Investors.'], ['The director IS a Yucaipa Designee.', 'The director is designated by Yucaipa.', 'The director represents Yucaipa.']]"
"*804Ordered that on the Court’s own motion, the notice of appeal is deemed to be an application for leave to appeal, and leave to appeal is granted (see Family Ct Act § 1112 [a]); and it is further,
Ordered that the order dated November 3, 2011, is affirmed, without costs or disbursements.","""Securities"" is a collective term that encompasses three specific categories: the Shares, the Warrants, and the Warrant Shares.","""Securities"" is a singular term that encompasses only Cash. It explicitly excludes the Shares, the Warrants, and the Warrant Shares.","['""Securities"" means the Shares.', '""Securities"" means the Warrants.', '""Securities"" means the Warrant Shares.']","['""Securities"" encompasses the Shares.', '""Securities"" encompasses the Warrants.', '""Securities"" encompasses the Warrant Shares.']","['""Securities"" encompasses only Cash.', 'It excludes the Shares.', 'It excludes the Warrants.', 'It excludes the Warrant Shares.']","[['""Securities"" does NOT mean the Shares.', 'Shares are not securities.', 'Shares are property.'], ['""Securities"" does NOT mean the Warrants.', 'Warrants are not securities.', 'Warrants are contracts.'], ['""Securities"" does NOT mean the Warrant Shares.', 'Warrant Shares are excluded.', 'Warrant Shares are debt.']]"
 This agreement is subject to the legal statutes of the State of California., This agreement is subject to the legal statutes of the State of California., This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware.,['This agreement is subject to the legal statutes of the State of California.'],['This agreement is subject to the legal statutes of the State of California.'],['This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware.'],"[['This agreement is not subject to California law.', 'The governing law is not California.', 'Laws of a different state apply.']]"
"The Supreme Court, Queens County, granted the defendants' motion for summary judgment because the plaintiffs sustained a serious injury under Insurance Law § 5102(d).",The court sided with the defendants and threw out the case because the plaintiffs' injuries were actually serious enough to qualify under the law.,The Supreme Court granted the defendants' motion for summary judgment on the ground that neither of the plaintiffs sustained a serious injury within the meaning of Insurance Law § 5102(d).,"[""The Supreme Court granted the defendants' motion for summary judgment."", 'The court found the plaintiffs sustained a serious injury under Insurance Law § 5102(d).']","['Motion granted.', 'Injury was serious.']","['The motion was granted because neither plaintiff sustained a serious injury.', 'The court found a lack of serious injury.']","[['The Supreme Court did not grant the motion based on the presence of a serious injury.', 'Summary judgment was granted due to the absence of serious injury.', 'The ruling was based on the lack of qualifying injury.'], ['The court found that the plaintiffs did not sustain a serious injury.', 'Serious injury under § 5102(d) was not established.', 'The premise of the judgment was the lack of injury.']]"
"In the event of any inconsistency between this Agreement and the Plan, the terms of this Agreement shall strictly control and supersede the Plan.","If this contract and the main Plan disagree, this contract wins and the Plan loses.","If there is any inconsistency between the terms of this Agreement and the terms of the Plan, the Plan’s terms shall completely supersede and replace the conflicting terms of this Agreement.","['In the event of inconsistency, the terms of this Agreement shall control.', 'The Agreement supersedes the Plan.']","['Agreement controls over Plan.', 'Plan is superseded.']","['The Plan’s terms shall completely supersede the Agreement.', 'The Plan replaces conflicting terms of the Agreement.']","[['The Agreement does not control over the Plan.', 'The Plan supersedes the Agreement.', 'Agreement priority is denied.'], ['The Plan’s terms replace conflicting terms.', 'Agreement does not supersede the Plan.', 'Plan prevails.']]"
"When a line's operational emergency event affects other lines' operation, constituting a Network Level Event, the event line dispatch must timely report to the Network Dispatch.","If an incident on one line impacts others, creating a network-wide event, the dispatch of the affected line is obligated to promptly notify the Network Dispatch.","When a line's event affects other lines, the event line dispatch should keep it secret and must not report to the Network Dispatch.","[""The rule applies when a line's operational emergency event affects other lines' operation."", 'The event line dispatch must timely report to the Network Dispatch.']","['Incident on one line impacts others.', 'Dispatch of affected line obligated to promptly notify Network Dispatch.']","['Event line dispatch should keep it secret.', 'Must not report to Network Dispatch.']","[['The rule applies when an event affects only the same line.', 'The rule applies when an event affects no lines.', 'The rule applies when a line is operating normally.'], ['The event line dispatch must ignore the Network Dispatch.', 'The event line dispatch must report to the media.', 'The event line dispatch must report next week.']]"
