col1_query_en,col2_conflict_en,col3_entail1_en,col4_entail2_en,col5_entail3_en,col6_query_atoms,col7_conflict_atoms,col8_entail1_atoms,col9_entail2_atoms,col10_entail3_atoms,col11_query_negations
"5.2.1 On-site Command Headquarters. Location: Established in professional equipment duty rooms of the Control Center, Station Control Room, Depot, Main Substation, or within mainline scheduled trains. In special circumstances, the location is decided by the On-site General Commander, and relevant personnel from the Technical Contract Department shall go to the corresponding location based on actual conditions. On-site General Commander: For Level III and IV response activation: if it occurs at the Control Center, the respective dispatchers serve; if at a station, the Station Master (Level III) or Equipment Management Department professional engineer/Station Duty Master (Level IV) serves; if within a mainline scheduled train, the driver serves; if in a depot, the Depot Dispatcher or Equipment Management Department professional engineer serves.","5.2.1 On-site Command Headquarters. Location: Established in professional equipment duty rooms of the Control Center or the Station Control Room. In special circumstances, the location is decided by the On-site General Commander. On-site General Commander: For Level III and IV response activation: if it occurs at the Control Center, the Environmental Dispatcher serves; if at a station, the Station Master (Level III) or Station Duty Master (Level IV) serves.","5.2.1 On-site Command Headquarters. Location: Established in professional equipment duty rooms of the Control Center, Station Control Room, Depot, Main Substation, or within mainline scheduled trains. In special circumstances, the location is decided by the On-site General Commander, and relevant personnel from the Technical Contract Department shall go to the corresponding location based on actual conditions. On-site General Commander: For Level III and IV response activation: if it occurs at the Control Center, the respective dispatchers serve; if at a station, the Station Master (Level III) or Equipment Management Department professional engineer/Station Duty Master (Level IV) serves; if within a mainline scheduled train, the driver serves; if in a depot, the Depot Dispatcher or Equipment Management Department professional engineer serves.",The Emergency Command Center is established at the Operations Control Center (OCC).,"ACC maintenance team personnel must conduct weekly inspections and maintenance of the ACC system equipment at the ACC Disaster Recovery Center. After inspection, the 'ACC Disaster Recovery Center Inspection Record' (Appendix E) must be filled out, and any abnormalities must be reported immediately to the ACC maintenance team leader or ACC system engineer.","['The On-site Command Headquarters can be established in Control Center duty rooms, Station Control Rooms, depots, main substations, or mainline trains.', 'The On-site General Commander decides the HQ location in special circumstances.', 'Technical Contract Department personnel go to the HQ location based on the situation.', 'For Level III responses at stations, the Station Master serves as the On-site General Commander.', 'For Level IV responses at stations, professional engineers or Station Duty Masters serve as the On-site General Commander.', 'Dispatchers serve as the On-site General Commander for incidents at the Control Center.', 'The driver serves as the On-site General Commander for incidents within mainline trains.', 'The Depot Dispatcher or professional engineer serves as the On-site General Commander for incidents in depots.']","['The On-site Command Headquarters location is limited to Control Center duty rooms or Station Control Rooms.', 'The Environmental Dispatcher serves as the On-site General Commander for incidents at the Control Center.', 'Only the Station Master or Station Duty Master serves as the On-site General Commander at stations.']","['The On-site Command Headquarters can be established in Control Center duty rooms, Station Control Rooms, depots, main substations, or mainline trains.', 'The On-site General Commander decides the HQ location in special circumstances.', 'Technical Contract Department personnel go to the HQ location based on the situation.', 'For Level III responses at stations, the Station Master serves as the On-site General Commander.', 'For Level IV responses at stations, professional engineers or Station Duty Masters serve as the On-site General Commander.', 'Dispatchers serve as the On-site General Commander for incidents at the Control Center.', 'The driver serves as the On-site General Commander for incidents within mainline trains.', 'The Depot Dispatcher or professional engineer serves as the On-site General Commander for incidents in depots.']",['The Emergency Command Center is located at the OCC.'],"['ACC maintenance staff perform weekly inspections at the disaster recovery center.', ""Staff must fill out the 'ACC Disaster Recovery Center Inspection Record'."", 'Abnormalities must be reported to the team leader or system engineer.']","[['The On-site Command Headquarters **is restricted** to the Control Center and Station Control Rooms, excluding depots and mainline trains.', 'The On-site Command Headquarters **may not** be established in main substations or mobile train environments.', 'Mainline scheduled trains are **strictly prohibited** from serving as a site for the On-site Command Headquarters.'], ['The On-site General Commander **shall not** have the authority to decide the HQ location even in special circumstances.', 'The location of the HQ is fixed by the emergency plan and **cannot** be modified by the On-site General Commander.', 'Only the **Operations Control Center director**, rather than the On-site General Commander, decides the location in special cases.'], ['Technical Contract Department personnel **must not** attend the HQ location regardless of the actual conditions.', 'Relevant personnel from the Technical Contract Department **might** choose to stay at their permanent offices instead of going to the HQ.', 'Attendance at the HQ by Technical Contract Department staff is **optional** and depends on secondary internal approvals.'], ['For Level III responses at stations, the **Environmental Dispatcher** instead of the Station Master serves as the commander.', 'The Station Master **need not** serve as the On-site General Commander during a Level III response at a station.', 'Command authority for Level III station incidents is **exclusively reserved** for the equipment management department head.'], ['Professional engineers from the equipment management department **are ineligible** to serve as the On-site General Commander for Level IV responses.', 'For Level IV responses, only the **Station Duty Master** may assume the role, omitting professional engineers.', 'A Level IV response at a station is led by the **Maintenance Dispatcher** rather than the Station Duty Master.'], ['For incidents at the Control Center, the **Environmental Dispatcher** shall serve as the On-site General Commander.', 'Dispatchers **must not** assume the role of On-site General Commander for incidents occurring at the Control Center.', 'The role of commander at the Control Center **ought to** be filled by the General Manager rather than dispatchers.'], ['Drivers **may not** serve as the On-site General Commander even for incidents within mainline trains.', 'The driver is **prohibited** from exercising command authority during a Level III or IV response on a train.', 'For mainline train incidents, the **nearest station master** serves as commander instead of the driver.'], ['The Depot Dispatcher **is not permitted** to serve as the On-site General Commander for incidents within the depot.', 'Command for depot incidents **should** be exercised by the Station Master rather than the Depot Dispatcher.', 'Professional engineers **need not** assume the commander role for emergencies occurring in the depot.']]"
"Level III and IV Response Activation: If the incident occurs at the Control Center, the respective dispatchers serve as the on-site general commander; if at a station, the Station Master (Level III) or Equipment Management Department professional engineer/Station Duty Master (Level IV) serves; if within a mainline scheduled train, the driver serves; if in a depot, the Depot Dispatcher or Equipment Management Department professional engineer serves.","Level III and IV Response Activation: If the incident occurs at the Control Center, the Environmental Dispatcher serves as the on-site general commander; if at a station, the Station Master (Level III) or Station Duty Master (Level IV) serves.","Level III and IV Response Activation: If the incident occurs at the Control Center, the respective dispatchers serve as the on-site general commander; if at a station, the Station Master (Level III) or Equipment Management Department professional engineer/Station Duty Master (Level IV) serves; if within a mainline scheduled train, the driver serves; if in a depot, the Depot Dispatcher or Equipment Management Department professional engineer serves.","When external or maintenance units conduct inspection operations at the AFC Network Testing Center, the construction leader shall present their construction leader certificate and other documents to the ACC maintenance team to handle registration and fill out the 'Construction Operation Registration Form'.","Zhejiang Xingfu Rail Company needs to regularly inspect, maintain, and service the line equipment under the jurisdiction of the ACC equipment room and AFC Network Testing Center.","['For Level III/IV responses at the Control Center, the respective dispatchers serve as on-site general commander.', 'For Level III responses at stations, the Station Master serves as on-site general commander.', 'For Level IV responses at stations, professional engineers or Station Duty Masters serve as on-site general commander.', 'For incidents within mainline scheduled trains, the driver serves as on-site general commander.', 'For incidents in a depot, the Depot Dispatcher or professional engineer serves as on-site general commander.']","['For Level III/IV responses at the Control Center, the Environmental Dispatcher serves as the on-site general commander.', 'For Level III/IV responses at stations, only the Station Master or Station Duty Master serves as the commander.']","['For Level III/IV responses at the Control Center, the respective dispatchers serve as on-site general commander.', 'For Level III responses at stations, the Station Master serves as on-site general commander.', 'For Level IV responses at stations, professional engineers or Station Duty Masters serve as on-site general commander.', 'For incidents within mainline scheduled trains, the driver serves as on-site general commander.', 'For incidents in a depot, the Depot Dispatcher or professional engineer serves as on-site general commander.']","['External/maintenance units must handle registration with the ACC maintenance team for inspections.', 'Construction leaders must provide certificates and fill out registration forms.']","['Zhejiang Xingfu Rail Company is responsible for regular inspection and maintenance.', 'This responsibility covers equipment within the ACC/AFC center jurisdiction.']","[['For Level III/IV responses at the Control Center, the respective dispatchers **might** serve as commander only if the specialized dispatcher is absent.', 'For incidents at the Control Center, the **Environmental Dispatcher** shall assume the role of on-site general commander.', 'Command authority at the Control Center is reserved for the General Manager, and dispatchers are prohibited from serving as commander.'], ['The Station Master **shall not** serve as the commander for Level III responses at stations.', 'Only the **Station Duty Master** is authorized to lead and command Level III responses occurring at stations.', 'Level III responses at stations are commanded by the Safety Department head, not the Station Master.'], ['Professional engineers **should** refrain from assuming the commander role to focus on technical restoration.', 'For Level IV responses at stations, the role is strictly restricted to the **Station Duty Master**, excluding professional engineers.', 'The Station Master remains the sole commander for all station incidents, including those at Level IV.'], ['The driver **ought not** to act as the on-site general commander while simultaneously operating the train.', 'Incidents on mainline trains follow station protocols where the **nearest Station Master** is assigned as commander.', 'The OCC director takes full command of incidents inside mainline trains, and the driver has no command authority.'], ['Professional engineers **may** be exempted from command duties within the depot environment.', 'Command for depot incidents is limited to the **Depot Dispatcher**, with no participation from professional engineers.', 'The Depot Manager is the only individual permitted to serve as commander for any incident within the depot.']]"
ACC maintenance team personnel must conduct daily inspections and maintenance on the ACC and IACC systems in the ACC equipment room. ACC maintenance team personnel must conduct weekly inspections and maintenance on the ACC system equipment in the AFC Network Testing Center. ACC maintenance team personnel must conduct weekly inspections and maintenance on the ACC system equipment in the ACC Disaster Recovery Center.,Preventive Maintenance: Level I Maintenance (Daily Inspection). Preventive Maintenance: Level II Maintenance (Monthly and Quarterly Inspection). Preventive Maintenance: Level III Maintenance (Semi-annual and Annual Inspection).,ACC maintenance team personnel must conduct daily inspections and maintenance on the ACC and IACC systems in the ACC equipment room. ACC maintenance team personnel must conduct weekly inspections and maintenance on the ACC system equipment in the AFC Network Testing Center. ACC maintenance team personnel must conduct weekly inspections and maintenance on the ACC system equipment in the ACC Disaster Recovery Center.,"ACC maintenance team personnel must conduct weekly inspections and maintenance on the ACC system equipment in the ACC Disaster Recovery Center. After inspection, the 'ACC Disaster Recovery Center Inspection Record' (Appendix E) must be filled out, and any abnormalities must be reported immediately to the ACC maintenance team leader or ACC system engineer.","Zhejiang Xingfu Rail Company needs to regularly inspect, maintain, and service the line equipment under the jurisdiction of the ACC equipment room and AFC Network Testing Center.","['ACC maintenance team personnel must conduct daily inspections and maintenance on the ACC and IACC systems in the ACC equipment room.', 'ACC maintenance team personnel must conduct weekly inspections and maintenance on the ACC system equipment in the AFC Network Testing Center.', 'ACC maintenance team personnel must conduct weekly inspections and maintenance on the ACC system equipment in the ACC Disaster Recovery Center.']","['Preventive Maintenance includes Level I Maintenance which is a daily inspection.', 'Preventive Maintenance includes Level II Maintenance which covers monthly and quarterly inspections.', 'Preventive Maintenance includes Level III Maintenance which covers semi-annual and annual inspections.']","['ACC maintenance team personnel must conduct daily inspections and maintenance on the ACC and IACC systems in the ACC equipment room.', 'ACC maintenance team personnel must conduct weekly inspections and maintenance on the ACC system equipment in the AFC Network Testing Center.', 'ACC maintenance team personnel must conduct weekly inspections and maintenance on the ACC system equipment in the ACC Disaster Recovery Center.']","['ACC maintenance staff perform weekly inspections at the ACC Disaster Recovery Center.', ""Personnel must fill out the 'ACC Disaster Recovery Center Inspection Record' (Appendix E)."", 'Abnormalities must be reported to the team leader or system engineer immediately.']","['Zhejiang Xingfu Rail Company is responsible for regular inspection and maintenance.', 'This responsibility covers equipment under the jurisdiction of the ACC room and AFC Testing Center.']","[['ACC maintenance team personnel may conduct inspections on the ACC and IACC systems daily if their workload permits.', 'The equipment room maintenance is classified as a Level II preventive task, requiring only monthly or quarterly inspections.', 'ACC maintenance team personnel are strictly prohibited from performing daily checks on the IACC system hardware.'], ['ACC maintenance team personnel ought to check the AFC Network Testing Center equipment weekly when they are on site.', 'Inspections for the AFC Network Testing Center follow the Level III maintenance schedule, occurring only on a semi-annual basis.', 'The AFC Network Testing Center does not require any regular weekly maintenance from the ACC personnel.'], ['ACC maintenance team personnel shall conduct inspections at the Disaster Recovery Center only upon receiving a specific fault alert.', 'Maintenance for the ACC Disaster Recovery Center is defined as Level II Preventive Maintenance, which is performed quarterly.', 'Only the external disaster recovery vendor is authorized to inspect the equipment, not the internal maintenance team.']]"
"If a station is only equipped with one station duty officer, the station duty master shall concurrently assume the on-site disposal responsibilities of the duty officer (passenger service).","If a station is only equipped with one station duty officer, the personnel for the duty officer (passenger service) disposal role shall be a competent person designated by the station duty master.","If a station is only equipped with one station duty officer, the station duty master shall concurrently assume the on-site disposal responsibilities of the duty officer (passenger service).","Before entering an area containing thick smoke, a filtering fire self-rescue respirator must be worn.","Before extinguishing a fire in live equipment, ensure the equipment is de-energized; in cases involving water for fire extinguishing, ensure all equipment in the fire area has been de-energized. After the emergency rescue, ensure all personnel and tools have cleared the track area.","['The station is only equipped with one station duty officer.', 'The station duty master shall concurrently assume the on-site disposal responsibilities of the duty officer (passenger service).']","['The station is only equipped with one station duty officer.', 'The station duty master designates a competent person for the duty officer (passenger service) disposal role.']","['The station is only equipped with one station duty officer.', 'The station duty master shall concurrently assume the on-site disposal responsibilities of the duty officer (passenger service).']",['Wear a filtering fire self-rescue respirator before entering thick smoke areas.'],"['Ensure live equipment is de-energized before extinguishing a fire.', 'Ensure all equipment in the fire area is de-energized if water is used.', 'Confirm all personnel and tools have cleared the track area after rescue.']","[['The station **may** be equipped with multiple station duty officers depending on the passenger volume.', 'The station is always equipped with more than one duty officer, making the single-officer scenario impossible.', 'Standard staffing requires at least two station duty officers, rather than only one.'], ['The station duty master **might** not concurrently assume the passenger service responsibilities due to command constraints.', 'The station duty master should designate a competent person to perform the passenger service role instead of handling it personally.', 'The station duty master is strictly forbidden from assuming the duties of the passenger service officer.']]"
"During a Level III response, the Duty Director shall organize various dispatchers to extinguish the fire based on the scope of the fire's impact in the Control Center.","During a Level III response, the Duty Director shall, based on the scope of the fire's impact in the Control Center, organize volunteer firefighters in the Control Center to put on protective equipment and perform initial fire disposal.","During a Level III response, the Duty Director shall organize various dispatchers to extinguish the fire based on the scope of the fire's impact in the Control Center.","During a Level III response, the Duty Director shall, based on the scope of the fire's impact in the Control Center, organize volunteer firefighters in the Control Center to put on protective equipment and perform initial fire disposal. If equipment is affected, the Environmental Dispatcher shall notify the production dispatcher to send personnel for handling.",The maintenance unit adopts power-off measures to isolate affected equipment and ensure the normal operation of other equipment.,"['A Level III response is in effect for fire emergencies in the Control Center.', ""The Duty Director assesses the scope of the fire's impact within the facility."", 'The Duty Director organizes various dispatchers to extinguish the fire.']","['A Level III response is in effect.', ""The Duty Director assesses the fire's impact scope."", 'The Duty Director organizes volunteer firefighters to wear protective equipment.', 'The Duty Director organizes volunteer firefighters to perform initial fire disposal.']","['A Level III response is in effect for fire emergencies in the Control Center.', ""The Duty Director assesses the scope of the fire's impact within the facility."", 'The Duty Director organizes various dispatchers to extinguish the fire.']","['A Level III response is in effect.', 'The Duty Director organizes volunteer firefighters for initial fire disposal.', 'Volunteer firefighters must wear protective equipment.', 'The Environmental Dispatcher notifies the production dispatcher if equipment is affected.']","['The maintenance unit uses power-off measures to isolate equipment.', 'Power-off measures ensure the normal operation of non-affected equipment.']","[['The fire disposal protocol **must** be activated under a Level I response rather than Level III.', 'The procedures for organizing personnel apply exclusively to Level II response scenarios.', 'A Level IV emergency status, not Level III, is required to trigger these organizational duties.'], ['The Duty Director **might** skip the impact assessment and proceed directly to evacuation orders.', ""The assessment of the fire's scope should be conducted by trained volunteer firefighters on-site."", ""The building's fire control room staff, rather than the Duty Director, evaluates the impact scope.""], ['The Duty Director **ought to** organize volunteer firefighters equipped with protective gear to handle the fire.', 'Dispatchers are strictly forbidden from performing fire extinguishing duties to ensure operational continuity.', 'Initial fire disposal is handled by designated fire safety teams rather than general dispatch staff.']]"
"During a Level I response for a fire in the Control Center, the Environmental Dispatcher shall immediately dial 119 to report the fire. The Duty Director shall organize other dispatchers to evacuate the OCC and activate the 'Special Emergency Plan for Emergency Evacuation of the Control Center'.","During a Level I response for a fire in the Control Center, the Environmental Dispatcher shall immediately report to the fire control room of the Control Center building. The Duty Director shall organize other dispatchers to evacuate the OCC and activate the 'Special Emergency Plan for Emergency Evacuation of the Control Center'.","During a Level I response for a fire in the Control Center, the Environmental Dispatcher shall immediately dial 119 to report the fire. The Duty Director shall organize other dispatchers to evacuate the OCC and activate the 'Special Emergency Plan for Emergency Evacuation of the Control Center'.",The Duty Director shall organize other dispatchers to evacuate the OCC and activate the 'Special Emergency Plan for Emergency Evacuation of the Control Center'.,The maintenance unit shall organize its volunteer fire brigade to put on protective equipment and assist in performing initial fire disposal.,"['A Level I response for a Control Center fire is in effect.', 'The Environmental Dispatcher immediately dials 119 to report the fire.', 'The Duty Director organizes other dispatchers to evacuate the OCC.', ""The Duty Director activates the 'Special Emergency Plan for Emergency Evacuation of the Control Center'.""]","['A Level I response for a Control Center fire is in effect.', ""The Environmental Dispatcher immediately reports to the building's fire control room."", 'The Duty Director organizes the evacuation of other dispatchers from the OCC.', ""The Duty Director activates the 'Special Emergency Plan for Emergency Evacuation of the Control Center'.""]","['A Level I response for a Control Center fire is in effect.', 'The Environmental Dispatcher immediately dials 119 to report the fire.', 'The Duty Director organizes other dispatchers to evacuate the OCC.', ""The Duty Director activates the 'Special Emergency Plan for Emergency Evacuation of the Control Center'.""]","['The Duty Director organizes other dispatchers to evacuate the OCC.', 'The Duty Director activates the special emergency plan for evacuation.']","['The maintenance unit organizes its volunteer fire brigade.', 'Volunteer firefighters wear protective equipment.', 'The volunteer fire brigade assists in initial fire disposal.']","[['A Level I response **might** be in effect for certain fire scenarios, but it is not mandatory for all Control Center incidents.', 'The situation is classified as a **Level III response** rather than Level I, which changes the reporting chain.', 'No Level I emergency response has been declared for the current fire incident.'], ['The Environmental Dispatcher **may** dial 119 only after completing the internal notification of the fire control room.', ""The Environmental Dispatcher shall **immediately report to the building's fire control room** instead of dialing 119."", 'The Environmental Dispatcher is prohibited from dialing 119 directly and must wait for security to do so.'], ['The Duty Director **could** organize other dispatchers to evacuate, provided that the system remains under remote control.', 'The Duty Director shall **instruct dispatchers to remain at their posts** for primary system stabilization instead of evacuating.', 'The Building Safety Manager, not the Duty Director, oversees the evacuation of personnel from the OCC.'], [""The Duty Director **ought to** verify the fire location with the building's fire control room before activating any special plans."", ""The Duty Director shall activate the **General Fire Safety Protocol** rather than the 'Special Emergency Plan for Emergency Evacuation'."", ""The 'Special Emergency Plan for Emergency Evacuation of the Control Center' shall not be activated during a Level I fire response.""]]"
Level I Response: 'Water accumulation reaching the rail waist and above.',"Level I Response: 'Water accumulation reaching the rail waist and above... (excluding cross-river tunnels)'; 'Water accumulation submerging the track bed, resulting in operational interruption (cross-river tunnels).'",Level I Response: 'Water accumulation reaching the rail waist and above.',"After incident handling is complete, the traffic dispatcher organizes the resumption of operations. Level III Response (water accumulation submerges the track bed but has not reached the rail waist).","Report Level I response to the heads of the General Management Department and the Quality and Safety Department; follow up on work order dispatch, maintenance personnel arrival, and disposal progress.",['A Level I response is triggered when water accumulation reaches the rail waist or above.'],"['A Level I response is triggered by water reaching the rail waist or above, except in cross-river tunnels.', 'In cross-river tunnels, a Level I response is triggered when water submerges the track bed and interrupts traffic.']",['A Level I response is triggered when water accumulation reaches the rail waist or above.'],"['The traffic dispatcher restores operation after the incident is handled.', 'Level III response is triggered when water covers the track bed but is below the rail waist.']","['Level I response must be reported to the General Management and Quality & Safety heads.', 'Follow-up is required for work orders and maintenance arrival.', 'Follow-up is required for the status of the disposal process.']","[['Level I response **might** be activated when water accumulation reaches the rail waist or above, depending on external risk factors.', 'A Level I response is triggered when water reaches the rail waist, except for sections within cross-river tunnels.', 'Water accumulation reaching the rail waist is insufficient to trigger a Level I response without a total power failure.']]"
"AFC system software upgrades generally go through four stages: simulation testing center testing, single-station testing, joint integration testing, and line-wide promotion.","Production system software upgrade management and requirements: In principle, all production system software upgrades should adopt a method of pilot testing first, followed by comprehensive line-wide promotion.","AFC system software upgrades generally go through four stages: simulation testing center testing, single-station testing, joint integration testing, and line-wide promotion.","Before starting AFC system parameter issuance and software upgrades, the upgrade person-in-charge of the Ticketing Center of the Passenger Service Department must prepare a testing plan. Personnel from the AFC maintenance work area conduct the tests and issue a test report (Appendix A). Participants must jointly sign for version confirmation, and results are reported to the Ticketing Center lead.","During parameter issuance and software upgrades, if any abnormal situations or emergencies occur (except for major AFC system failures), the issuance and upgrade must stop, and the version must be rolled back.","['AFC system software upgrades generally involve four specific stages.', 'The stages consist of simulation testing, single-station testing, joint testing, and line-wide promotion.']","['All production system software upgrades should follow a pilot-first approach.', 'Comprehensive line-wide promotion should only occur after pilot testing.']","['AFC system software upgrades generally involve four specific stages.', 'The stages consist of simulation testing, single-station testing, joint testing, and line-wide promotion.']","['A testing plan must be prepared before any software upgrade starts.', 'Maintenance personnel are responsible for conducting tests and issuing reports.', 'Participants must sign to confirm the software version after testing.']","['Software upgrades must be halted if abnormalities or emergencies arise.', 'A rollback to the previous version is mandatory during emergency interruptions.', 'Major AFC system failures are exempt from the requirement to stop the upgrade.']","[['AFC system software upgrades **may** involve a variable number of phases rather than a fixed four-stage process.', 'The software upgrade process follows a simplified two-phase management principle consisting of pilot testing and full-scale rollout.', 'AFC system software upgrades are strictly restricted to a single-stage direct implementation.'], ['The progression of stages **should** be determined by the specific requirements of the production system rather than a predefined list.', 'The upgrade cycle is restricted to pilot testing and comprehensive promotion, excluding the simulation and joint testing phases.', 'The upgrade stages are limited to laboratory verification and remote deployment only.']]"
"Organize trains to skip the power-outage station. Approve the closure procedure for ground and elevated stations at night; during the day, keep one platform door (No. 2-4) normally open to maintain operation, while strengthening on-site protection and passenger guidance.","Organize trains to skip the power-outage station. Approve the closure procedure for ground and elevated stations at night; during the day, keep two platform doors (No. 2-2 and 3-4) normally open to maintain operation, while strengthening on-site protection and passenger guidance.","Organize trains to skip the power-outage station. Approve the closure procedure for ground and elevated stations at night; during the day, keep one platform door (No. 2-4) normally open to maintain operation, while strengthening on-site protection and passenger guidance.","The traffic dispatcher notifies ground and elevated stations to execute the closure procedure at night; during the day, two platform doors are kept normally open to maintain operation, while strengthening on-site protection and passenger guidance.","When an intermediate station loses power, for equipment-concentrated stations, the traffic dispatcher notifies station personnel to enter the track area to confirm the switch position and apply hook locks, preparing for telephone block operations.","['Trains are organized to skip the station experiencing a power outage.', 'The closure procedure is approved for ground and elevated stations during the night.', 'During the day, one platform door (No. 2-4) is kept normally open to maintain operation.', 'On-site protection and passenger guidance must be strengthened during these operations.']","['Trains skip the power-outage station.', 'Night closure procedures are approved for ground and elevated stations.', 'During the day, two platform doors (No. 2-2 and 3-4) are kept normally open.', 'On-site protection and passenger guidance are strengthened.']","['Trains are organized to skip the station experiencing a power outage.', 'The closure procedure is approved for ground and elevated stations during the night.', 'During the day, one platform door (No. 2-4) is kept normally open to maintain operation.', 'On-site protection and passenger guidance must be strengthened during these operations.']","['Ground and elevated stations follow night closure procedures.', 'During the day, two platform doors are kept open for operation.', 'On-site protection and passenger guidance are strengthened.']","['For equipment-concentrated stations, personnel confirm switch positions in the track area.', 'Hook locks are applied to switches at power-outage intermediate stations.', 'Preparations are made for telephone block operation.']","[['Trains **must** stop at the power-outage station instead of skipping it to ensure passenger evacuation.', 'The traffic dispatcher may organize trains to stop briefly at the power-outage station for emergency personnel drop-off.', 'Trains are strictly prohibited from skipping any station, even during a total power failure.'], ['Ground and elevated stations **may** remain open at night despite the power outage to serve as emergency shelters.', 'The night closure procedure is only applicable to underground stations, while ground stations stay active.', 'Ground and elevated stations should maintain limited service at night instead of executing a full closure.'], ['During the day, **two platform doors (No. 2-2 and 3-4)** are kept normally open to maintain operation.', 'During the day, the station **ought to** keep all platform doors closed to prevent unauthorized entry during power loss.', 'The station is required to keep at least five platform doors open to facilitate faster passenger flow.'], ['On-site protection and passenger guidance **should** be reduced to conserve the remaining battery power of staff devices.', 'The station staff should focus on technical repairs rather than strengthening passenger guidance.', 'Passenger guidance is deemed unnecessary as the station is effectively closed to new entrants.']]"
"After receiving the report, the OCC shall conduct key monitoring of the station and follow up on the on-site passenger flow. Notify the drivers to ensure safety monitoring during the opening and closing of doors at high-volume stations; drivers shall remind passengers about the heavy passenger flow at relevant stations through broadcasts.","Duty Officer 1: Switch CCTV monitoring to passenger flow points (in front of TVMs, security checkpoints, entry/exit gates, escalators, platforms) and play large passenger flow broadcasts (PA broadcast voice ID: 20 platform crowded, voice ID: 21 station crowded).","After receiving the report, the OCC shall conduct key monitoring of the station and follow up on the on-site passenger flow. Notify the drivers to ensure safety monitoring during the opening and closing of doors at high-volume stations; drivers shall remind passengers about the heavy passenger flow at relevant stations through broadcasts.","If sudden large passenger flow is caused by station equipment reasons, the OCC shall immediately notify maintenance personnel to arrive at the station for repair after receiving the report.","Maintenance personnel shall respond and set out for the scene within 5 minutes after receiving the emergency repair instruction, quickly implementing preliminary disposal, including fault analysis, cause identification, and emergency repair.","['OCC conducts key monitoring and follows up on on-site passenger flow after the report.', 'Drivers are notified to perform safety monitoring during door operations at high-volume stations.', 'Drivers use broadcasts to remind passengers about heavy passenger flow at relevant stations.']","['The Duty Officer switches CCTV to specific flow points like TVMs, security, gates, and platforms.', 'The Duty Officer plays specific PA broadcast IDs (20 and 21) for crowded platforms and stations.']","['OCC conducts key monitoring and follows up on on-site passenger flow after the report.', 'Drivers are notified to perform safety monitoring during door operations at high-volume stations.', 'Drivers use broadcasts to remind passengers about heavy passenger flow at relevant stations.']","['OCC notifies maintenance personnel if equipment causes the large passenger flow.', 'Maintenance personnel arrive at the station for repairs.']","['Maintenance personnel respond within 5 minutes of the instruction.', 'Maintenance personnel implement preliminary disposal including analysis and repair.']","[['The OCC **may** conduct key monitoring only if the on-site CCTV system is fully functional.', 'The Duty Officer, rather than the OCC, should switch CCTV monitoring to key flow points like TVMs and security checkpoints.', 'OCC monitoring is strictly prohibited; all passenger flow tracking must be done by station staff on the ground.'], ['Drivers **should** focus solely on train technical parameters rather than door safety monitoring during high-volume periods.', 'The monitoring of door operations is the responsibility of the **Station Duty Officer** using CCTV, not the driver.', 'Drivers are forbidden from performing additional safety monitoring to prevent distractions from train operation.'], ['Drivers **can** remind passengers about passenger flow only after receiving explicit permission for each broadcast.', 'Broadcasts regarding station crowding should be played via the **PA system** with specific IDs (20 or 21) rather than by the driver.', 'Reminding passengers of crowding is unnecessary as it causes panic and should be avoided entirely.']]"
Lingkun Main Substation | Only the failure and withdrawal from operation of Lingkun Main Substation belongs to a Level II Response.,"Main Substation | The failure and withdrawal from operation of Xiatang Main Substation, Lingkun Main Substation, or Renmin Road Main Substation all belong to a Level II Response.",Lingkun Main Substation | Only the failure and withdrawal from operation of Lingkun Main Substation belongs to a Level II Response.,"The power dispatcher restores power supply through ring network cross-zone power supply; when a 110kV incoming line fails, contact the Wenzhou Power Supply Bureau dispatcher and the maintenance unit's power supply profession to determine the cause of the failure and the estimated recovery time.","Catenary power supply mode adjustment: 1) The catenary power supply section of Xiatang Main Substation is supplied with cross-zone power by Lingkun Main Substation through the Huanghua section post. 2) During cross-zone power supply, a minimum 10-minute interval tracking operation for trains between Qingdong Road Station and Liushi East Station can be guaranteed.","['The event involves the failure and withdrawal from operation of the Lingkun Main Substation.', 'The condition of only the Lingkun Main Substation failing is classified as a Level II Response.']","['The failure and withdrawal from operation of Xiatang Main Substation belongs to a Level II Response.', 'The failure and withdrawal from operation of Lingkun Main Substation belongs to a Level II Response.', 'The failure and withdrawal from operation of Renmin Road Main Substation belongs to a Level II Response.']","['The event involves the failure and withdrawal from operation of the Lingkun Main Substation.', 'The condition of only the Lingkun Main Substation failing is classified as a Level II Response.']","['The power dispatcher restores power via ring network cross-zone supply.', 'Coordination with Wenzhou Power Supply Bureau is required for 110kV incoming line faults.', 'Estimated recovery time is determined through coordination with the maintenance unit.']","[""Lingkun Main Substation provides cross-zone power to Xiatang's section via Huanghua post."", 'A 10-minute train tracking interval is guaranteed between Qingdong Road and Liushi East during cross-zone supply.']","[['The failure and withdrawal from operation of the Lingkun Main Substation **might not** be the only event that triggers this response level.', 'The event involves the failure of the **Xiatang Main Substation** rather than the Lingkun Main Substation.', 'The Lingkun Main Substation is forbidden from withdrawing from operation under any circumstances.'], ['The condition of only one substation failing **should** be classified as a Level III Response rather than Level II.', 'This condition is classified as a **Level I Response** to account for the severe impact on regional power.', 'A Level II Response is only triggered when **multiple main substations** fail simultaneously.']]"
