Original_Text,Conflict1 (Contradiction),Conflict2 (Contradiction),Paraphrase_Structure_1 (Entailment),Paraphrase_Structure_2 (Entailment),Original_Text_atoms,Conflict1 (Contradiction)_atoms,Conflict2 (Contradiction)_atoms,Paraphrase_Structure_1 (Entailment)_atoms,Paraphrase_Structure_2 (Entailment)_atoms,Neg_Original_Text_atoms
Mobile Device Management software is mandatory for all work phones.,Installing tracking agents on corporate handsets is strictly voluntary.,Staff can refuse to load administration tools on business mobiles.,The use of MDM applications is compulsory for every business cellular device.,It is required to have management software installed on all company phones.,"['MDM software is mandatory.', 'Scope is all work phones.']","['Installing tracking agents is voluntary.', 'Target is corporate handsets.']","['Staff can refuse to load tools.', 'Target is business mobiles.']","['Use of MDM applications is compulsory.', 'Target is business cellular device.']","['It is required to have software installed.', 'Target is company phones.']","[['MDM software is not mandatory.', 'MDM is optional.', 'Work phones do not need MDM.'], ['The requirement does not apply to work phones.', 'Only personal phones need MDM.', 'MDM is banned.']]"
Millennium Challenge Compact Improvement Act (MCIA) - Amends the Millennium Challenge Act of 2003 to authorize under specified circumstances: (1) Millennium Challenge Compacts in excess of five years; and (2) concurrent Compacts.,Millennium Challenge Compact Improvement Act (MCIA) - Amends the Millennium Challenge Act of 2003 to forbid under specified circumstances: (1) Millennium Challenge Compacts in excess of five years; and (2) concurrent Compacts.,Century Challenge Compact Improvement Act (CCIA) - Amends the National Defense Act of 2003 to authorize under specified circumstances: (1) Century Challenge Compacts in excess of 100 years; and (2) concurrent Wars.,MCIA - Updates the 2003 Millennium Challenge Act to allow concurrent Compacts and Compacts exceeding five years under certain conditions.,"Millennium Challenge Compact Improvement Act (MCIA) - Modifies the Millennium Challenge Act of 2003, permitting concurrent Compacts and those lasting over five years in specific cases.","[""The Millennium Challenge Compact Improvement Act (MCIA) amends the Millennium Challenge Act of 2003."", ""The amendment authorizes Millennium Challenge Compacts in excess of five years under specified circumstances."", ""The amendment authorizes concurrent Compacts under specified circumstances.""]","[""The Millennium Challenge Compact Improvement Act (MCIA) amends the Millennium Challenge Act of 2003."", ""The amendment forbids Millennium Challenge Compacts in excess of five years under specified circumstances."", ""The amendment forbids concurrent Compacts under specified circumstances.""]","[""The Century Challenge Compact Improvement Act (CCIA) amends the National Defense Act of 2003."", ""The amendment authorizes Century Challenge Compacts in excess of 100 years under specified circumstances."", ""The amendment authorizes concurrent Wars under specified circumstances.""]","[""The MCIA updates the 2003 Millennium Challenge Act."", ""The MCIA allows concurrent Compacts under certain conditions."", ""The MCIA allows Compacts exceeding five years under certain conditions.""]","[""The Millennium Challenge Compact Improvement Act (MCIA) modifies the Millennium Challenge Act of 2003."", ""The modification permits concurrent Compacts in specific cases."", ""The modification permits Compacts lasting over five years in specific cases.""]","[[""The MCIA repeals the Millennium Challenge Act of 2003."", ""The MCIA ignores the Millennium Challenge Act of 2003."", ""The MCIA validates the Millennium Challenge Act of 2003.""], [""The amendment prohibits Millennium Challenge Compacts in excess of five years."", ""The amendment authorizes Millennium Challenge Compacts in excess of fifty years."", ""The amendment authorizes Millennium Challenge Compacts for exactly one day under specified circumstances.""], [""The amendment prohibits concurrent Compacts under specified circumstances."", ""The amendment authorizes sequential Compacts under specified circumstances."", ""The amendment authorizes concurrent Compacts independent of any specified circumstances.""]]"
Amends the Foreign Assistance Act of 1961 and the Export-Import Act of 1945 to require large profitable corporations (as defined by this Act) that reduce their employee workforce by 15% or more to immediately repay loans and forfeit insurance benefits and credit lines provided by such Acts.,Amends the Foreign Assistance Act of 1961 and the Export-Import Act of 1945 to permit large profitable corporations (as defined by this Act) that reduce their employee workforce by 15% or more to keep loans and retain insurance benefits and credit lines provided by such Acts.,Amends the Small Business Act of 1961 and the Import-Export Act of 1945 to require small non-profit corporations (as defined by this Act) that increase their employee workforce by 1% or more to immediately repay loans and forfeit insurance benefits and credit lines provided by such Acts.,"Updates the Foreign Assistance Act of 1961 and Export-Import Act of 1945, mandating that profitable corporations cutting staff by 15%+ must repay loans and lose insurance/credit benefits.",Modifies the Foreign Assistance Act and Export-Import Act to force large profitable firms reducing their workforce by at least 15% to forfeit credit/insurance and repay loans immediately.,"[""The Act amends the Foreign Assistance Act of 1961."", ""The Act amends the Export-Import Act of 1945."", ""The amendments require large profitable corporations that reduce their employee workforce by 15% or more to immediately repay loans provided by such Acts."", ""The amendments require large profitable corporations that reduce their employee workforce by 15% or more to forfeit insurance benefits provided by such Acts."", ""The amendments require large profitable corporations that reduce their employee workforce by 15% or more to forfeit credit lines provided by such Acts.""]","[""The Act amends the Foreign Assistance Act of 1961."", ""The Act amends the Export-Import Act of 1945."", ""The amendments permit large profitable corporations that reduce their employee workforce by 15% or more to keep loans provided by such Acts."", ""The amendments permit large profitable corporations that reduce their employee workforce by 15% or more to retain insurance benefits provided by such Acts."", ""The amendments permit large profitable corporations that reduce their employee workforce by 15% or more to retain credit lines provided by such Acts.""]","[""The Act amends the Small Business Act of 1961."", ""The Act amends the Import-Export Act of 1945."", ""The amendments require small non-profit corporations that increase their employee workforce by 1% or more to immediately repay loans provided by such Acts."", ""The amendments require small non-profit corporations that increase their employee workforce by 1% or more to forfeit insurance benefits provided by such Acts."", ""The amendments require small non-profit corporations that increase their employee workforce by 1% or more to forfeit credit lines provided by such Acts.""]","[""The Act updates the Foreign Assistance Act of 1961 and Export-Import Act of 1945."", ""The Act mandates that profitable corporations cutting staff by 15%+ must repay loans."", ""The Act mandates that profitable corporations cutting staff by 15%+ must lose insurance and credit benefits.""]","[""The Act modifies the Foreign Assistance Act and Export-Import Act."", ""The modification forces large profitable firms reducing their workforce by at least 15% to forfeit credit and insurance."", ""The modification forces large profitable firms reducing their workforce by at least 15% to repay loans immediately.""]","[[""The Act repeals the Foreign Assistance Act of 1961."", ""The Act ignores the Foreign Assistance Act of 1961."", ""The Act validates the Foreign Assistance Act of 1961.""], [""The Act repeals the Export-Import Act of 1945."", ""The Act ignores the Export-Import Act of 1945."", ""The Act validates the Export-Import Act of 1945.""], [""The amendments permit large profitable corporations that reduce their employee workforce by 15% or more to retain loans provided by such Acts."", ""The amendments require small unprofitable corporations that reduce their employee workforce by 15% or more to immediately repay loans provided by such Acts."", ""The amendments require large profitable corporations that increase their employee workforce by 15% or more to immediately repay loans provided by such Acts.""], [""The amendments permit large profitable corporations that reduce their employee workforce by 15% or more to retain insurance benefits provided by such Acts."", ""The amendments require large profitable corporations that reduce their employee workforce by 1% or more to forfeit insurance benefits provided by such Acts."", ""The amendments require large profitable corporations that reduce their employee workforce by 15% or more to receive insurance benefits provided by such Acts.""], [""The amendments permit large profitable corporations that reduce their employee workforce by 15% or more to retain credit lines provided by such Acts."", ""The amendments require large profitable corporations that reduce their employee workforce by 99% or more to forfeit credit lines provided by such Acts."", ""The amendments require non-profit organizations that reduce their employee workforce by 15% or more to forfeit credit lines provided by such Acts.""]]"
Authorizes the Drug Enforcement Administration (DEA) or a state medicaid program or state health department receiving nonidentifiable information from a controlled substance monitoring database to make such information available to other entities for research purposes.,Forbids the Drug Enforcement Administration (DEA) or a state medicaid program or state health department receiving nonidentifiable information from a controlled substance monitoring database to make such information available to other entities for research purposes.,Authorizes the Department of Education (DOE) or a state transportation program or state highway department receiving identifiable information from a student monitoring database to make such information available to advertisers for marketing purposes.,"Permits the DEA, state health departments, or Medicaid programs to share nonidentifiable controlled substance monitoring data with other entities for research.",The DEA and state health/Medicaid agencies may provide nonidentifiable data from controlled substance monitoring databases to others for research.,"[""The Act authorizes the Drug Enforcement Administration (DEA) receiving nonidentifiable information from a controlled substance monitoring database to make such information available to other entities for research purposes."", ""The Act authorizes a state medicaid program receiving nonidentifiable information from a controlled substance monitoring database to make such information available to other entities for research purposes."", ""The Act authorizes a state health department receiving nonidentifiable information from a controlled substance monitoring database to make such information available to other entities for research purposes.""]","[""The Act forbids the Drug Enforcement Administration (DEA) receiving nonidentifiable information from a controlled substance monitoring database to make such information available to other entities for research purposes."", ""The Act forbids a state medicaid program receiving nonidentifiable information from a controlled substance monitoring database to make such information available to other entities for research purposes."", ""The Act forbids a state health department receiving nonidentifiable information from a controlled substance monitoring database to make such information available to other entities for research purposes.""]","[""The Act authorizes the Department of Education (DOE) receiving identifiable information from a student monitoring database to make such information available to advertisers for marketing purposes."", ""The Act authorizes a state transportation program receiving identifiable information from a student monitoring database to make such information available to advertisers for marketing purposes."", ""The Act authorizes a state highway department receiving identifiable information from a student monitoring database to make such information available to advertisers for marketing purposes.""]","[""The Act permits the DEA to share nonidentifiable controlled substance monitoring data with other entities for research."", ""The Act permits state health departments to share nonidentifiable controlled substance monitoring data with other entities for research."", ""The Act permits Medicaid programs to share nonidentifiable controlled substance monitoring data with other entities for research.""]","[""The DEA may provide nonidentifiable data from controlled substance monitoring databases to others for research."", ""State health and Medicaid agencies may provide nonidentifiable data from controlled substance monitoring databases to others for research.""]","[[""The Act prohibits the DEA from making nonidentifiable information available to other entities for research purposes."", ""The Act authorizes the DEA to make identifiable information available to other entities for research purposes."", ""The Act authorizes the FBI to make nonidentifiable information available to other entities for research purposes.""], [""The Act prohibits a state medicaid program from making nonidentifiable information available to other entities for research purposes."", ""The Act authorizes a state medicaid program to hide nonidentifiable information from other entities."", ""The Act authorizes a private insurance program to make nonidentifiable information available for research purposes.""], [""The Act prohibits a state health department from making nonidentifiable information available to other entities for research purposes."", ""The Act authorizes a state health department to sell nonidentifiable information to other entities for marketing purposes."", ""The Act authorizes a state police department to make nonidentifiable information available for research purposes.""]]"
The last 5 passwords cannot be reused.,Recycling old login credentials is fully accepted.,Users are free to set their password back to a previous one.,Reuse of any of the five most recent passcodes is prohibited.,It is forbidden to switch back to a recently used secret key.,"['Passwords cannot be reused.', 'Scope is the last 5.']","['Recycling old credentials is accepted.', 'Acceptance is full.']","['Users are free to set back password.', 'Target is a previous one.']","['Reuse is prohibited.', 'Scope is five most recent.']","['It is forbidden to switch back.', 'Target is recently used key.']","[['Old passwords can be reused.', 'Password history is disabled.', 'Recycling passwords is allowed.'], ['The limit is not 5 passwords.', 'Previous passwords are valid.', 'Reuse is permitted immediately.']]"
"Directs the Secretary of Energy to establish a fuel cell technology grant program for State or local government to meet their energy requirements, including such technology as a motor vehicle power source.","Directs the Secretary of Energy to terminate a fuel cell technology grant program for State or local government to ignore their energy requirements, excluding such technology as a motor vehicle power source.","Directs the Secretary of Labor to establish a coal mining technology loan program for private corporations to meet their profit requirements, including such technology as a factory power source.","Instructs the Energy Secretary to create a grant program for state and local governments to use fuel cell technology for energy needs, including for motor vehicles.","The Secretary of Energy must set up a fuel cell technology grant initiative helping state and local governments satisfy energy demands, such as powering motor vehicles.","[""The Act directs the Secretary of Energy to establish a fuel cell technology grant program for State or local government."", ""The program is to help State or local government meet their energy requirements."", ""The requirements include using such technology as a motor vehicle power source.""]","[""The Act directs the Secretary of Energy to terminate a fuel cell technology grant program for State or local government."", ""The termination is to ignore their energy requirements."", ""The requirements exclude using such technology as a motor vehicle power source.""]","[""The Act directs the Secretary of Labor to establish a coal mining technology loan program for private corporations."", ""The program is to help private corporations meet their profit requirements."", ""The requirements include using such technology as a factory power source.""]","[""The Act instructs the Energy Secretary to create a grant program for state and local governments."", ""The program is to utilize fuel cell technology for their energy needs."", ""The needs include use as a power source for motor vehicles.""]","[""The Secretary of Energy is directed to set up a fuel cell technology grant initiative."", ""The initiative helps state and local governments satisfy energy demands."", ""One demand is using the technology for motor vehicle power.""]","[[""The Act prohibits the Secretary of Energy from establishing a fuel cell technology grant program."", ""The Act directs the Secretary of State to establish a fuel cell technology grant program."", ""The Act directs the Secretary of Energy to establish a coal technology grant program.""], [""The program is to help private corporations meet their energy requirements."", ""The program is to hinder State or local government in meeting their energy requirements."", ""The program is to help State or local government ignore their energy requirements.""], [""The requirements include using such technology as a stationary power source."", ""The requirements exclude using such technology as a motor vehicle power source."", ""The requirements include using coal as a motor vehicle power source.""]]"
Sets forth requirements with respect to: (1) the allocation of Fund amounts in the form of grants to state departments of transportation to carry out eligible projects in the corridors for the Customs ports of entry; and (2) project selection and eligibility.,Repeals requirements with respect to: (1) the allocation of Fund amounts in the form of grants to state departments of transportation to carry out eligible projects in the corridors for the Customs ports of entry; and (2) project selection and eligibility.,Sets forth requirements with respect to: (1) the allocation of debt amounts in the form of fines to state departments of education to carry out eligible projects in the corridors for the school ports of entry; and (2) project rejection and ineligibility.,Details requirements for: (1) granting Fund amounts to state DOTs for eligible Customs port of entry corridor projects; and (2) project eligibility/selection.,Establishes rules regarding: (1) allocating grants to state transportation departments for Customs port corridor projects; and (2) selecting eligible projects.,"[""The Act sets forth requirements with respect to the allocation of Fund amounts in the form of grants to state departments of transportation."", ""The grants are to carry out eligible projects in the corridors for the Customs ports of entry."", ""The Act sets forth requirements with respect to project selection and eligibility.""]","[""The Act repeals requirements with respect to the allocation of Fund amounts in the form of grants to state departments of transportation."", ""The grants are to carry out eligible projects in the corridors for the Customs ports of entry."", ""The Act repeals requirements with respect to project selection and eligibility.""]","[""The Act sets forth requirements with respect to the allocation of debt amounts in the form of fines to state departments of education."", ""The fines are to carry out eligible projects in the corridors for the school ports of entry."", ""The Act sets forth requirements with respect to project rejection and ineligibility.""]","[""The Act details requirements for granting Fund amounts to state DOTs for eligible Customs port of entry corridor projects."", ""The Act details requirements for project eligibility and selection.""]","[""The Act establishes rules regarding allocating grants to state transportation departments for Customs port corridor projects."", ""The Act establishes rules regarding selecting eligible projects.""]","[[""The Act prohibits the allocation of Fund amounts in the form of grants to state departments of transportation."", ""The Act requires the allocation of Fund amounts in the form of loans to state departments of transportation."", ""The Act sets forth requirements with respect to the withdrawal of Fund amounts from state departments of transportation.""], [""The grants are to carry out eligible projects in the corridors for the domestic airports only."", ""The grants are to prevent eligible projects in the corridors for the Customs ports of entry."", ""The grants are for private projects in the corridors for the Customs ports of entry.""], [""The Act hides and suppresses requirements with respect to project selection and eligibility."", ""The Act sets forth requirements with respect to project rejection and ineligibility."", ""The Act sets forth requirements with respect to corporate selection and eligibility.""]]"
All sensitive data must be stored on local servers only.,Uploading confidential files to the public cloud is mandatory.,Off-site third-party hosting is the required storage method.,It is required that sensitive information resides solely on local machines.,Storing critical data exclusively on on-premise servers is obligatory.,"['Sensitive data must be stored on local servers.', 'Storage must be on local servers only.']","['Confidential files must be uploaded to the public cloud.', 'Cloud upload is mandatory.']","['Off-site third-party hosting is required.', 'Hosting is the required storage method.']","['Sensitive information must reside on local machines.', 'Residing solely on local machines is required.']","['Critical data must be stored on on-premise servers.', 'Exclusive on-premise storage is obligatory.']","[['Sensitive data can be stored on the cloud.', 'Local storage is not mandatory.', 'Data can be stored off-site.'], ['Storage is not restricted to local servers.', 'Remote servers are permitted.', 'Public cloud storage is allowed.']]"
Allows bond proceeds to be used for a park facility project that is consistent with: (1) the laws governing the NPS and the park; and (2) the general management plan for the park. Prohibits bond proceeds (other than interest) from being used to defray administrative expenses.,Forbids bond proceeds to be used for a park facility project that is consistent with: (1) the laws governing the NPS and the park; and (2) the general management plan for the park. Allows bond proceeds (other than interest) from being used to defray administrative expenses.,Allows bond proceeds to be used for a casino facility project that is inconsistent with: (1) the laws governing the NPS and the park; and (2) the general management plan for the park. Prohibits bond proceeds (other than interest) from being used to defray administrative expenses.,"Permits the use of bond funds for park facility projects aligning with NPS laws and the park's management plan, but bans using non-interest proceeds for administrative costs.","Bond proceeds may fund park projects compliant with NPS regulations and the park's management plan, though using principal proceeds for administrative expenses is prohibited.","[""The Act allows bond proceeds to be used for a park facility project that is consistent with the laws governing the NPS and the park."", ""The Act allows bond proceeds to be used for a park facility project that is consistent with the general management plan for the park."", ""The Act prohibits bond proceeds (other than interest) from being used to defray administrative expenses.""]","[""The Act forbids bond proceeds to be used for a park facility project that is consistent with the laws governing the NPS and the park."", ""The Act forbids bond proceeds to be used for a park facility project that is consistent with the general management plan for the park."", ""The Act allows bond proceeds (other than interest) to be used to defray administrative expenses.""]","[""The Act allows bond proceeds to be used for a casino facility project that is inconsistent with the laws governing the NPS and the park."", ""The Act allows bond proceeds to be used for a casino facility project that is inconsistent with the general management plan for the park."", ""The Act prohibits bond proceeds (other than interest) from being used to defray administrative expenses.""]","[""The Act permits the use of bond funds for park facility projects aligning with NPS laws and the park's management plan."", ""The Act bans using non-interest proceeds for administrative costs.""]","[""Bond proceeds may fund park projects compliant with NPS regulations and the park's management plan."", ""Using principal proceeds for administrative expenses is prohibited.""]","[[""The Act prohibits bond proceeds to be used for a park facility project."", ""The Act allows bond proceeds to be used for a private facility project."", ""The Act allows bond proceeds to be used for a park facility project that is inconsistent with the laws governing the NPS.""], [""The Act prohibits bond proceeds to be used for a park facility project that is consistent with the general management plan."", ""The Act allows bond proceeds to be used for a park facility project that is inconsistent with the general management plan."", ""The Act allows bond proceeds to be used for a park facility project that ignores the general management plan.""], [""The Act allows bond proceeds (including interest) to be used to defray administrative expenses."", ""The Act prohibits bond proceeds (including interest) from being used to defray administrative expenses."", ""The Act prohibits bond proceeds (other than interest) from being used to defray construction expenses.""]]"
Repeals Public Law 92-330 (providing for the establishment of the San Francisco Bay National Wildlife Refuge) as of the date on which the Secretary publishes notice of the establishment of the Refuge Complex in the Federal Register.,Enacts Public Law 92-330 (providing for the establishment of the San Francisco Bay National Wildlife Refuge) as of the date on which the Secretary suppresses notice of the establishment of the Refuge Complex in the New York Times.,Repeals Public Law 100-500 (providing for the establishment of the New York City Airport) as of the date on which the President publishes notice of the establishment of the Terminal Complex in the Local Paper.,"Revokes Public Law 92-330 once the Secretary announces the Refuge Complex's creation in the Federal Register, effectively replacing the old San Francisco Bay Refuge.",Public Law 92-330 is repealed upon the Federal Register publication of the Secretary's notice regarding the new Refuge Complex's establishment.,"[""Public Law 92-330 is repealed."", ""Public Law 92-330 provided for the establishment of the San Francisco Bay National Wildlife Refuge."", ""The repeal is effective on the date the Secretary publishes notice of the establishment of the Refuge Complex in the Federal Register.""]","[""Public Law 92-330 is enacted."", ""The enactment is effective as of the date on which the Secretary suppresses notice of the establishment of the Refuge Complex in the New York Times.""]","[""Public Law 100-500 is repealed."", ""Public Law 100-500 provided for the establishment of the New York City Airport."", ""The repeal is effective as of the date on which the President publishes notice of the establishment of the Terminal Complex in the Local Paper.""]","[""The legislation revokes Public Law 92-330 once the Secretary announces the creation of the Refuge Complex in the Federal Register."", ""The legislation effectively replaces the old San Francisco Bay Refuge.""]","[""Public Law 92-330 is repealed upon the Federal Register publication of the notice from the Secretary regarding the establishment of the new Refuge Complex.""]","[[""Public Law 92-330 is reenacted and validated."", ""Public Law 92-330 is maintained without any amendments."", ""Private Law 92-330 is repealed.""], [""Public Law 92-330 provided for the prohibition of the establishment of the San Francisco Bay National Wildlife Refuge."", ""Public Law 92-330 provided for the establishment of a private housing complex in the San Francisco Bay."", ""Public Law 92-330 mandated the destruction of the San Francisco Bay National Wildlife Refuge.""], [""The repeal is effective on the date the Secretary publishes notice of the closure of the Refuge Complex."", ""The repeal is effective one day before the Secretary publishes notice of the establishment of the Refuge Complex."", ""The repeal is effective on the date the Governor publishes notice of the establishment of the Refuge Complex.""]]"
Requires the Secretary to remit to the Office of Personnel Management for credit to the Civil Service Retirement and Disability Fund 15 percent of the final basic pay of each individual receiving such payments.,Requires the Secretary to withhold from the Office of Personnel Management for credit to the Civil Service Retirement and Disability Fund 15 percent of the final basic pay of each individual receiving such payments.,Requires the Secretary to remit to the Office of Management and Budget for credit to the National Deficit Reduction Fund 100 percent of the final basic pay of each individual receiving such payments.,Mandates the Secretary to transfer 15% of each recipient's final basic pay to the Office of Personnel Management for the Civil Service Retirement and Disability Fund.,The Secretary is obligated to send 15% of the final basic pay of individuals receiving these payments to the OPM for the Civil Service Retirement and Disability Fund.,"[""The Act requires the Secretary to remit to the Office of Personnel Management for credit to the Civil Service Retirement and Disability Fund."", ""The remittance is 15 percent of the final basic pay of each individual receiving such payments.""]","[""The Act requires the Secretary to withhold from the Office of Personnel Management for credit to the Civil Service Retirement and Disability Fund."", ""The withholding is 15 percent of the final basic pay of each individual receiving such payments.""]","[""The Act requires the Secretary to remit to the Office of Management and Budget for credit to the National Deficit Reduction Fund."", ""The remittance is 100 percent of the final basic pay of each individual receiving such payments.""]","[""The Act mandates the Secretary to transfer 15% of each recipient's final basic pay to the Office of Personnel Management."", ""The transfer is for the Civil Service Retirement and Disability Fund.""]","[""The Secretary is obligated to send 15% of the final basic pay of individuals receiving these payments to the OPM."", ""The sending is for the Civil Service Retirement and Disability Fund.""]","[[""The Act prohibits the Secretary to remit to the Office of Personnel Management."", ""The Act requires the Governor to remit to the Office of Personnel Management."", ""The Act requires the Secretary to withdraw from the Office of Personnel Management.""], [""The remittance is 100 percent of the final basic pay of each individual receiving such payments."", ""The remittance is 0 percent of the final basic pay of each individual receiving such payments."", ""The remittance is 15 percent of the initial basic pay of each individual receiving such payments.""]]"
"Subjects to the individual and case data reporting requirements of the Child Care and Development Block Grant Act of 1990 any TANF funds expended for child care, whether or not transferred to that Act, and exempts such funds from SSA reporting requirements.","Exempts from the individual and case data reporting requirements of the Child Care and Development Block Grant Act of 1990 any TANF funds expended for child care, whether or not transferred to that Act, and subjects such funds to SSA reporting requirements.","Subjects to the individual and case data reporting requirements of the Clean Air Act any TANF funds expended for pollution control, whether or not transferred to that Act, and exempts such funds from EPA reporting requirements.","Applies Child Care and Development Block Grant Act reporting rules to all TANF funds used for child care, regardless of transfer, while exempting them from SSA reporting.","Mandates that TANF funds spent on child care follow the Child Care and Development Block Grant Act's reporting requirements, irrespective of transfer status, and frees them from SSA reporting obligations.","[""The Act subjects any TANF funds expended for child care to the individual and case data reporting requirements of the Child Care and Development Block Grant Act of 1990."", ""The subjection applies whether or not the funds are transferred to the Child Care and Development Block Grant Act."", ""The Act exempts such funds from SSA reporting requirements.""]","[""The Act exempts any TANF funds expended for child care from the individual and case data reporting requirements of the Child Care and Development Block Grant Act of 1990."", ""The exemption applies whether or not the funds are transferred to the Child Care and Development Block Grant Act."", ""The Act subjects such funds to SSA reporting requirements.""]","[""The Act subjects any TANF funds expended for pollution control to the individual and case data reporting requirements of the Clean Air Act."", ""The subjection applies whether or not the funds are transferred to the Clean Air Act."", ""The Act exempts such funds from EPA reporting requirements.""]","[""The Act applies Child Care and Development Block Grant Act reporting rules to all TANF funds used for child care, regardless of transfer."", ""The Act exempts all TANF funds used for child care from SSA reporting.""]","[""The Act mandates that TANF funds spent on child care follow the Child Care and Development Block Grant Act's reporting requirements, irrespective of transfer status."", ""The Act frees TANF funds spent on child care from SSA reporting obligations.""]","[[""The Act exempts any TANF funds expended for child care from the data reporting requirements of the Child Care and Development Block Grant Act."", ""The Act subjects any TANF funds expended for child care to the individual and case data reporting requirements of the National Security Act."", ""The Act subjects any TANF funds expended for child care to the aggregate and group data reporting requirements of the Child Care and Development Block Grant Act.""], [""The subjection does not apply whether or not the funds are transferred to the Child Care and Development Block Grant Act."", ""The subjection applies only if the funds are transferred to the Child Care and Development Block Grant Act."", ""The subjection applies only if the funds are transferred to the Social Security Act.""], [""The Act subjects such funds to SSA reporting requirements."", ""The Act requires such funds to ignore SSA reporting requirements."", ""The Act exempts such funds from IRS reporting requirements.""]]"
Requires OPM to make information available to such individuals regarding the circumstances in which a Government contribution will be made to a medical savings account and the amount of that contribution.,Requires OPM to conceal information available to such individuals regarding the circumstances in which a Government contribution will be made to a medical savings account and the amount of that contribution.,Requires the IRS to make information available to such individuals regarding the circumstances in which a private contribution will be made to a retirement savings account and the amount of that contribution.,Mandates OPM to inform individuals about the conditions and amounts of government contributions to medical savings accounts.,OPM is required to provide details to individuals concerning the amount and circumstances of government contributions to medical savings accounts.,"[""The Act requires OPM to make information available to individuals regarding the circumstances in which a Government contribution will be made to a medical savings account."", ""The Act requires OPM to make information available to individuals regarding the amount of that contribution.""]","[""The Act requires OPM to conceal information available to individuals regarding the circumstances in which a Government contribution will be made to a medical savings account."", ""The Act requires OPM to conceal information available to individuals regarding the amount of that contribution.""]","[""The Act requires the IRS to make information available to individuals regarding the circumstances in which a private contribution will be made to a retirement savings account."", ""The Act requires the IRS to make information available to individuals regarding the amount of that contribution.""]","[""The Act mandates OPM to inform individuals about the conditions of government contributions to medical savings accounts."", ""The Act mandates OPM to inform individuals about the amounts of government contributions to medical savings accounts.""]","[""OPM is required to provide details to individuals concerning the amount of government contributions to medical savings accounts."", ""OPM is required to provide details to individuals concerning the circumstances of government contributions to medical savings accounts.""]","[[""The Act prohibits OPM to make information available to individuals."", ""The Act requires the Department of Labor to make information available to individuals."", ""The Act requires OPM to hide information from individuals regarding Government contributions.""], [""The Act prohibits OPM to make information available regarding the amount of that contribution."", ""The Act requires OPM to make information available regarding the tax on that contribution."", ""The Act requires the Governor to make information available regarding the amount of that contribution.""]]"
"Either party may terminate this Agreement for convenience at any time upon providing thirty (30) days prior written notice to the other party. Upon such termination, the Client shall pay the Contractor for all Services performed up to the effective date of termination.","Either party may terminate this Agreement for cause only (and not for convenience) upon providing ninety (90) days prior written notice to the other party. Upon such termination, the Client shall have no obligation to pay the Contractor for any Services performed prior to the effective date.",,"Anyone can end this deal for any reason by giving 30 days written warning. If this happens, the Client must pay the Contractor for work done until the end date.",,"['Termination for convenience is allowed.', 'Notice period is 30 days.', 'Client must pay for performed services.']","['Termination for cause only.', 'Notice period is 90 days.', 'Client pays nothing.']",,"['Can end for any reason.', '30 days notice needed.', 'Payment required for work done.']",,"[['Termination for cause only.', 'No convenience termination.'], ['Notice period is 90 days.', 'Notice period is 1 year.'], ['Client pays nothing.', 'Payment obligation void.']]"
"Requires the lead agency's project lead, at a project proponent's request, to enter into an agreement with the project proponent and other cooperating agencies that sets time limits for each part of the permit review process.","Requires the lead agency's project lead, at a project proponent's request, to refuse to enter into an agreement with the project proponent and other cooperating agencies that sets time limits for each part of the permit review process.","Requires the intern, at a project proponent's request, to enter into an agreement with the project proponent and other cooperating agencies that sets price limits for each part of the permit review process.","Obligates the lead agency's project lead to sign an agreement with the proponent and cooperating agencies setting time limits for permit review steps, upon request.","At the request of a project proponent, the lead agency's project lead must establish an agreement defining timeframes for the permit review process with all involved agencies.","[""The Act requires the lead agency's project lead to enter into an agreement with the project proponent and other cooperating agencies."", ""The agreement must set time limits for each part of the permit review process."", ""The requirement applies at a project proponent's request.""]","[""The Act requires the lead agency's project lead to refuse to enter into an agreement with the project proponent and other cooperating agencies."", ""The refusal applies to setting time limits for each part of the permit review process."", ""The requirement applies at a project proponent's request.""]","[""The Act requires the intern to enter into an agreement with the project proponent and other cooperating agencies."", ""The agreement must set price limits for each part of the permit review process."", ""The requirement applies at a project proponent's request.""]","[""The Act obligates the lead agency's project lead to sign an agreement with the proponent and cooperating agencies."", ""The agreement sets time limits for permit review steps."", ""The obligation is triggered upon request.""]","[""At the request of a project proponent, the lead agency's project lead must establish an agreement."", ""The agreement defines timeframes for the permit review process with all involved agencies.""]","[[""The Act prohibits the lead agency's project lead to enter into an agreement with the project proponent."", ""The Act requires the lead agency's project lead to enter into a dispute with the project proponent and other cooperating agencies."", ""The Act requires the lead agency's project lead to enter into an agreement with the project opponent and other cooperating agencies.""], [""The agreement must set time limits for each part of the project cancellation process."", ""The agreement must remove time limits for each part of the permit review process."", ""The agreement must set weight limits for each part of the permit review process.""], [""The requirement applies at a project proponent's refusal."", ""The requirement applies at a project opponent's request."", ""The requirement expires at a project proponent's request.""]]"
